제목,축약 내용
[오늘의 코인] 금리인상 공포에 하락하는 암호화폐 시장,암호화폐 시장이 하락하고 있다. 사진|연합뉴스 라엘 브레이너드 연방준비제도 부의장이 0.5% 금리인상을 시사하는 발언을 해 암호화폐 시장이 하락하고 있다. 6일 국내 암호화폐 거래소 빗썸에 따르면 오전 9시59분...
NFT에 암호화폐까지…대기업도 ‘블록체인’,"기술개발을 넘어 최근 다양한 분야에서 활용되고 있는 NFT(대체불가토큰)를 선보이는가 하면, 자체 암호화폐 발행까지 나서는 등 관련 사업을 본격화하고 있다. 블록체인 기반 사업이 미래 새 먹을거리로 주목받으면서..."
[중앙 칼럼] 군맹무상<群盲撫象>의 암호화폐,"현재 암호화폐(또는 가상화폐)를 대하는 세계 각국이, 그리고 각 개인들이 바로 이런 모습이지 않을까 싶다. 한편에선 부귀영화를 가져다 준(또는 가져다 줄) 복덩이로 보는가 하면, 다른 한쪽에서는 폭망하는, 절대..."
"허석 순천시장 후보, “블록체인 방식 지역화폐 도입”","순천사랑상품권-암호화폐-지역공동체은행 결합 ▪오하근 예비후보, “IBK기업은행 본점 순천유치” 받아 무형 노동까지 거래가 가능한 지역화폐가 나온다면 우리생활상이 어떻게 바뀔까? 아직 실행해보지 않아서 선뜻..."
북한 지난해 암호화폐 4억 달러 ‘해킹 절도’,북한이 지난해 최소 7차례 가상자산(암호화폐) 거래소 및 투자회사들을 상대로 사이버 공격을 가해 4억 달러(약 4880억원) 상당을 훔치는 등 국제사회의 대북제재를 회피한 것으로 나타났다. 유엔 안전보장이사회 산하...
"인텔, 암호화폐 채굴 특화 '인텔 블록스케일 ASIC' 출시","아울러 보다 지속가능한 암호화폐 생태계를 구축하고 있는 세계적인 기업들과 협력해 솔루션을 제공할 수 있어 자랑스럽게 생각한다""며 ""인텔 블록스케일 ASIC은 향후 몇 년 동안 비트코인 채굴 회사가 지속가능성..."
"""北, 암호화폐 거래 해킹이 주요 수익원…작년 4800억 훔쳐""","전문가패널은 ""암호화폐 자산에 대한 사이버공격은 여전히 북한의 중요한 수익원""이라며 금융기관과 가상화폐 기업 등을 지속적으로 저격하고 있다고 평가했다. 다만 이번 보고서에 언급된 북한의 해킹 수익 규모는..."
세대별 암호화폐 투자…50대가 가장 공격적,한국 코인 투자자 중 가장 공격적인 성향을 보이는 세대는 ‘50대’였다. 시총 30위 아래 코인 매수 비중이 26.1%로 가장 높았다. 코인거래소 빗썸에 따르면 최근 3개월(2021년 12월~2022년 2월)간 50대 투자자의...
"英, 암호화폐 강국 도약 선언...""올 여름에 NFT 발행""","영국 정부가 '암호화폐 강국'이 되겠다고 선언했다. 4일(현지시간) CNBC에 따르면 존 글렌 재무부 금융서비스 총괄은 ""영국이 글로벌 가상자산 허브가 되는 것을 목표로 하고 있다""라며 관련 계획을 발표했다. 이날..."
오름세 보이는 암호화폐,비트코인과 이더리움 등 주요 암호화폐가 오름세를 보이고 있는 4일 오후 서울 서초구 빗썸 고객지원센터 전광판에 암호화폐 시세가 나타나고 있다. 2022.04.04. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의...
"카르도, 크리에이터스 암호화폐 'ORT' 제3자 관리 지원","양사는 이번 협약을 통해 ORT 토큰을 더욱 안전하고 투명하게 보관, 관리함으로써 ORT 토큰에 대한 신뢰도를 높이고 거래소 상장 전 제3자 분리 보관, 관리라는 업계 표준을 제시해 건전한 암호화폐 생태계를 만들어나갈..."
"오전 암호화폐 시세, 웨이브↓…다른 코인 혼조세",5일 오전 암호화폐(코인) 시장에서 웨이브가 두드러진 가격 하락을 나타냈다. 이밖에 각 거래소 거래대금 10위 안에 든 코인들은 대체로 가격이 엇갈린 혼조세였다. 이날 오전 11시 10분 웨이브는...
"유엔 제재위 ”北, 7차례 사이버 공격으로 암호화폐 4800억원 훔쳐“",북한이 지난해에도 글로벌 가상화폐 거래소에 대한 사이버 공격을 통해 거액의 암호화폐를 챙긴 것으로 드러났다. 1일(현지시간) 공개된 유엔 안전보장이사회 산하 대북제재위원회 전문가패널 보고서는 매년...
"오전 암호화폐 시세, 웨이브·리퍼리움↓…다른 코인도 대체로 하락세",6일 오전 암호화폐(코인) 시장에서 웨이브와 리퍼리움 가격 하락이 두드러졌다. 이밖에 각 거래소 거래대금 10위 안에 든 코인들도 대체로 하락세였다. 이날 오전 11시 33분 웨이브는 업비트 전일대비 2.49...
'암호화폐'로 진화했다는 '도토리'…'싸이클럽' '싸이도토리'는 뭐지?,기사내용 요약2일 싸이월드 정식 개장과 함께 공식 암호화폐 '도토리' 출시 예고 '싸이클럽'(CYC)과 '싸이도토리'(DOTR) 등 기존 발행 코인 투자자 혼란 지난 1년여간 수차례 서비스 출시를 연기해온 싸이월드가 오늘 오후...
"[가상화폐 시세] 셀로 코인 하락세, 어떤 코인일까?",모바일 기기를 통해 사용자가 휴대폰 번호와 이메일 주소를 사용해 암호화폐 전송도 가능하다. 2017년부터는 ERC-20 기반의 스테이블코인을 지원하는 플랫폼을 개발했다. 또한 2020년 03월 12일에는 셀로...
"국세청, 홈택스 통해 '암호화폐 일 평균가격 조회' 서비스 시작","송화연 기자,권혁준 기자 = 국세청이 암호화폐(가상자산) 일 평균 시세를 간편하게 확인할 수 있는 '가상자산 일 평균가격 조회' 서비스를 시작했다. 국민 누구나 '홈택스'를 통해 특정 암호화폐의 과거 시세 내역을..."
"업리치, 인공지능기반 가상화폐 자동매매 특허 출원",한국핀테크산업협회 정식회원사이자 구글 텐서플로우 AI개발자격을 보유하고 있는 업리치는 다양한 암호화폐를 인공지능(AI)이 최적의 타이밍에 매수해서 매도함으로써 간편하게 투자할 수 있도록 도와주는 AI자동매매...
"美 투자자, 암호화폐 관심 갈수록 커져...도지코인·비트코인 가장 많이 검색",© 코인리더스 미국 투자자들이 암호화폐에 큰 관심을 보이고 있는 것으로 조사되고 있다. 5일(현지시간) 암호화폐 전문매체 코인텔레그래프가 미국 투자정보 사이트 인베스토피디아(Investopedia)의 설문조사...
"암호화폐 투자 플랫폼 키키트레이드, 600만 달러 투자유치","앱웍스·미디어 아시아 공동 주도  소셜미디어 기반 암호화폐 투자 플랫폼을 제공하고 있는 홍콩의 키키트레이드(Kikitrade)가 추가 투자 유치에 성공했다. 6일 업계에 따르면 키키트레이드는 앱웍스, 미디어 아시아가..."
"""北, 작년 4억달러 암호화폐 훔쳐""… 자금세탁도 감행","북한이 지난해 외환을 벌어들이기 위해 가상자산(암호화폐) 거래소와 투자회사들에 대해 사이버 공격을 가한 것으로 드러났다. 지난 3월 31일(현지시간) 유엔 안전보장이사회 산하 대북제재위원회는 ""전문가패널은..."
"일론 머스크, 트위터 이사회 합류...""트위터 암호화폐 스팸봇 짜증""","한 트위터 유저가 일론 머스크 테슬라 CEO에게 ""암호화폐 스팸 봇 문제 좀 해결해달라. 정말 짜증난다. 사용자가 실제 인간임을 증명하기 위한 검증 시스템을 개선하는 것이 도움이 될 것""이라고 말했다. 이에..."
"가상화폐 업계 ""'평균연봉 4억'? 터무니 없는 소리""","두나무(업비트 운영사), 대표이사 등 임원들만 총 500억원 수령 업계 관계자 ""임원 연봉 제하면 일반사원 연봉 차이 커"" 최근 업비트와 빗썸 등 암호화폐 거래소가 지난해 사업보고서를 통해 ‘억대’의 평균 연봉을..."
"SRT 토큰, 글로벌 암호화폐 거래소 'MEXC' 상장", SRT가 오는 8일 한국시간 오후 9시에 암호화폐 거래소 'MEXC'에 상장한다고 5일 밝혔다. 회사 측에 따르면 SRT는 'Smart Rewards on Blockchain' 기업 SR Corporation 재단에서 단비코리아와의 제휴를 통해 Erc...
"'돈 버는 게임' 엑시 인피니티, 6500억원 암호화폐 해킹당해","기사내용 요약며칠 사이 약 7454억원으로 가치 올라 추적 결과 ""해커, 아직 암호화폐 보유"" 암호화폐 역사상 두 번째 규모의 해킹 [서울=뉴시스]송재민 인턴 기자 = 일명 '돈 버는 게임'으로 알려진 엑시 인피니티(Axie..."
[가상화폐 시세] 리플 코인 1000원 선 무너져...SEC 소송 결과 전망으로 반등...,미국 로펌 호건앤호건(Hogan & Hogan)의 파트너 변호사 제레미 호건(Jeremy Hogan)은 지난달 24일(현지시간) 트위터에 주요 암호화폐 로비그룹인 워싱턴 소재 디지털 상공회의소(Chamber of Digital Commerce)가 리플(XRP)-SEC...
"메타마스크, 중앙화 거래소 안거치고 애플페이로 암호화폐 구매 가능","이더리움 지갑 서비스인 메타마스크 사용자들은 애플페이를 활용해 암호화폐를 바로 살 수 있게 됐다. 메타마스크는 서비스 업데이터를 통해 사용자들이 애플페이를 거쳐 직불카드, 신용카드로 암호화폐를 구입할 수..."
"[가상화폐 시세] 질리카 코인 계속된 하락세, 향후 전망은?","질리카(Zilliqa)는 네트워크 샤딩(sharding) 기술을 사용하여 거래 처리 속도를 획기적으로 개선한 암호화폐다. 프랙티컬 비잔틴 장애 허용(PBFT, Practical Byzantine Fault Tolerance)이라는 합의 알고리즘을 사용한다...."
암호화폐 거래소 '업비트'에 다니는 직원들이 받고 있는 '상상을 초월하는 연...,"두나무는 암호화폐 거래소 업비트의 운영사다. 매체에 따르면 두나무 평균 연봉은 대형 증권사 평균 연봉을 2배 이상 웃돈다. NH투자증권, 한국투자증권, 미래에셋증권 1인당 평균 연봉은 각각 1억5800만원..."
"[가상화폐 시세] 리플 코인 상승, SEC·리플 소송 장기화 ""전망·결과 불투명...",미국 로펌 호건앤호건(Hogan & Hogan)의 파트너 변호사 제레미 호건(Jeremy Hogan)은 지난달 24일(현지시간) 트위터에 주요 암호화폐 로비그룹인 워싱턴 소재 디지털 상공회의소(Chamber of Digital Commerce)가 리플(XRP)-SEC...
"[가상화폐 시세] 리플 코인 상승, SEC·리플 소송 장기화 ""전망·결과 불투명...",미국 로펌 호건앤호건(Hogan & Hogan)의 파트너 변호사 제레미 호건(Jeremy Hogan)은 지난달 24일(현지시간) 트위터에 주요 암호화폐 로비그룹인 워싱턴 소재 디지털 상공회의소(Chamber of Digital Commerce)가 리플(XRP)-SEC...
[오늘의 코인] 비트코인 90% 채굴 소식 암호화폐 시장이 움직인다,암호화폐 시장이 움직임을 보이고 있다. 사진|연합뉴스 비트코인의 채굴량이 90%를 돌파했다는 소식에 따라 시장이 움직이고 있다. 4일 국내 암호화폐 거래소 빗썸에 따르면 오전 9시52분 기준 비트코인은 5611만원으로...
"오후 암호화폐 시세, 디비전↑…다른 코인 혼조세",4일 오후 암호화폐(코인) 시장에서 디비전이 두드러진 가격 상승을 나타냈다. 이밖에 각 거래소 거래대금 10위 안에 든 코인들은 대체로 가격이 엇갈린 혼조세였다. 이날 오후 5시 8분 디비전은 빗썸...
"싸이월드, 암호화폐 '도토리' 출시 선언…""돈 버는 SNS 보여주겠다""","기사내용 요약""도토리 2000년대 3200만 국민이 사용한 전자화폐"" 싸이월드 새 키워드 3가지 ""블록체인·커뮤니티·메타버스"" 싸이월드제트는 내달 2일 싸이월드 오픈과 함께 공식 암호화폐 '도토리'까지 출시하며, 웹 3.0..."
"허석 순천시장 후보, ""블록체인 방식 지역화폐 도입한다""","현재 지역화폐로 사용 중인 일회성의 순천사랑상품권을 블록체인 기반의 암호화폐로 함께 사용하는 방안을 추진하겠다는 것이다. 허석 순천시장 예비후보 허석 후보는 ""현재 전국 대부분의 지자체에서 사용하고 있는..."
"EU, 암호화폐도 익명거래 금지한다","유럽연합(EU) 의회가 암호화폐 익명 결제 막고, 모든 거래 정보를 확인하는 조항을 통과시켰다. 코인데스크 등 외신에 따르면 유럽 의회 경제통화위원회 31일(현지시간) 1천 유로 이상 암호화폐 거래 때도 자금세탁방지법..."
"카카오픽코마, 日 암호화폐 거래소 '사쿠라 익스체인지' 인수","인수 금액 등은 비공개…픽코마 ""비욘드 코리아 전략상 신사업 발굴 목적"" 카카오픽코마가 일본의 암호화폐 거래소인 '사쿠라 익스체인지 비트코인(SEBC)'을 인수했다. 인수 금액과 지분 규모 등은 공개하지 않았다...."
"폭삭 망한 리버풀 '암호화폐', 출시 6일 지났는데도 6% 판매 그쳐","리버풀이 암호화폐를 발행했다가 팬들의 미지근한 반응에 부닥쳤다. 영국 <데일리 메일>은 5일(한국 시간) ""논란이 되는 리버풀 암호화폐는 지금까지 성공하지 못한 것으로 보인다. 클럽은 6일 전 시장에 내놓은..."
"[가상화폐 시세] 도지코인 상승세, 전망 향한 투자자 관심",도지코인은 암호화폐를 쉽게 보낼 수 있는 발행량 무제한의 탈중앙화된 P2P 방식의 디지털 암호화폐다. 빌리 마커스(Billy Markus)와 잭슨 팔머(Jackson Palmer)에 의해 개발됐다. 도지코인은 기존의 라이트코인에서...
"도지코인, 머스크發 랠리 지속될까...""DOGE, 美서 가장 많이 검색된 암호화폐...","대표적인 '밈'(Meme·인터넷에서 유행어와 행동 따위를 모방해 만든 사진이나 영상) 암호화폐인 도지코인(Dogecoin, DOGE)은 지난 24시간 동안 최저 0.142달러, 최고 0.1553달러 사이에서 거래됐다. 장중 도지코인의 강력한..."
